student_id,class_name,attend_full_class,absence_reason,difficult_to_follow,use_lecture_materials,study_suggestion,struggling_courses,dedicate_time,study_goal,study_2h_daily,follow_schedule,group_study_importance,training_feedback
DH52201671,D22CQCN01,Có,Lý do sức khỏe,Có,Có,Cải thiện bài giảng,Nhập môn lập trình,Có,Nắm vững kiến thức,Có,Có,Có,Chương trình học phù hợp
DH52201698,D21CQCN01,Có,Lý do sức khỏe,Không,Không,Tăng số buổi học nhóm,Cấu trúc dữ liệu,Có,Nắm vững kiến thức,Không,Có,Có,Không có ý kiến
DH52201402,D21CQCN01,Có,Khác (tự do),Không,Có,Tăng số buổi học nhóm,Nhập môn lập trình,Có,Cải thiện điểm,Có,Có,Có,Chương trình học phù hợp
DH52201591,D21CQCN01,Có,Lịch học quá dày đặc,Có,Có,Hỗ trợ thêm tài liệu tham khảo,Cấu trúc dữ liệu,Không,Cải thiện điểm,Không,Có,Có,Thiếu thực hành
DH52201573,D21CQCN01,Có,Khác (tự do),Không,Có,Hỗ trợ thêm tài liệu tham khảo,Khác,Có,Qua môn,Không,Không,Không,Chương trình học phù hợp
DH52201295,D21CQCN02,Có,Công việc cá nhân,Không,Không,Tăng số buổi học nhóm,Nhập môn lập trình,Có,Nắm vững kiến thức,Có,Có,Có,Thiếu thực hành
DH52200656,D21CQCN01,Có,Khác (tự do),Không,Có,Hỗ trợ thêm tài liệu tham khảo,Kỹ thuật lập trình,Có,Nắm vững kiến thức,Có,Có,Có,Thiếu thực hành
DH52200823,D22CQCN01,Có,Công việc cá nhân,Không,Có,Tăng số buổi học nhóm,Cấu trúc dữ liệu,Có,Nắm vững kiến thức,Không,Có,Có,Chương trình học phù hợp
DH52201298,D22CQCN01,Không,Khác (tự do),Không,Có,Không có ý kiến,Kỹ thuật lập trình,Có,Nắm vững kiến thức,Không,Có,Có,Chương trình học phù hợp
DH52201029,D21CQCN01,Có,Lịch học quá dày đặc,Không,Có,Cải thiện bài giảng,Nhập môn lập trình,Có,Nắm vững kiến thức,Có,Có,Có,Cần cập nhật công nghệ mới
DH52201395,D21CQCN01,Có,Công việc cá nhân,Không,Không,Cải thiện bài giảng,Kỹ thuật lập trình,Không,Qua môn,Không,Không,Có,Cần cập nhật công nghệ mới
DH52200398,D22CQCN01,Không,Lý do sức khỏe,Có,Có,Hỗ trợ thêm tài liệu tham khảo,Kỹ thuật lập trình,Có,Nắm vững kiến thức,Có,Có,Không,Cần cập nhật công nghệ mới
DH52201797,D22CQCN01,Có,Lý do sức khỏe,Không,Không,Tăng số buổi học nhóm,Nhập môn lập trình,Có,Qua môn,Không,Có,Có,Thiếu thực hành
DH52200541,D21CQCN02,Có,Khác (tự do),Có,Có,Tăng số buổi học nhóm,Khác,Có,Cải thiện điểm,Có,Có,Có,Chương trình học phù hợp
DH52201517,D22CQCN01,Có,Lý do sức khỏe,Không,Có,Hỗ trợ thêm tài liệu tham khảo,Kỹ thuật lập trình,Không,Qua môn,Không,Không,Có,Không có ý kiến
